transaction_id,user_id,age,gender,daily_screen_time_hours,social_media_hours,gaming_hours,work_study_hours,sleep_hours,notifications_per_day,app_opens_per_day,weekend_screen_time,stress_level,academic_work_impact,addiction_level,addicted_label
TXN00001,U00001,21.0,Male,3.23,2.01,0.89,4.55,7.55,248.0,154,3.95,Medium,Yes,,0
TXN00002,U00002,24.0,Other,5.09,3.81,2.24,4.44,7.66,127.0,71,6.71,Medium,Yes,,0
TXN00003,U00003,31.0,Other,6.06,1.36,3.83,2.35,4.92,,106,8.68,High,No,,0
TXN00004,U00004,32.0,Other,7.83,5.85,1.51,3.54,,178.0,107,9.77,High,Yes,Moderate,1
TXN00005,U00005,25.0,Male,9.96,5.92,3.42,5.27,6.21,136.0,177,12.55,Low,No,,1
TXN00006,U00006,26.0,Male,9.32,4.26,0.29,3.99,6.9,82.0,56,10.98,Medium,Yes,Severe,1
TXN00007,U00007,25.0,Male,10.4,4.93,1.6,0.86,8.61,165.0,95,11.43,Medium,No,Severe,1
TXN00008,U00008,26.0,Male,4.26,4.6,2.16,4.61,6.43,169.0,117,5.66,,No,Moderate,1
TXN00009,U00009,21.0,Other,4.38,1.38,2.72,3.78,6.23,172.0,134,6.2,High,Yes,,0
TXN00010,U00010,35.0,Other,9.76,4.73,1.36,2.11,5.21,20.0,82,12.69,Low,Yes,Severe,1
TXN00011,U00011,34.0,Female,8.48,1.34,3.05,3.47,8.0,155.0,15,10.48,Medium,Yes,Moderate,1
TXN00012,U00012,27.0,Other,5.16,1.82,2.27,0.93,7.79,228.0,32,8.1,High,Yes,,0
TXN00013,U00013,33.0,Other,11.52,1.41,2.11,3.84,8.84,158.0,66,13.8,Medium,No,Severe,1
TXN00014,U00014,32.0,Male,4.09,1.74,1.35,3.74,5.54,76.0,16,4.77,High,Yes,,0
TXN00015,U00015,19.0,Male,10.74,0.89,0.95,4.18,5.46,53.0,161,12.68,Low,No,Severe,1
TXN00016,U00016,21.0,Male,3.87,2.87,1.69,3.07,7.78,192.0,180,4.62,Medium,No,,0
TXN00017,U00017,24.0,Other,4.71,2.97,1.69,2.03,5.62,39.0,128,7.23,High,Yes,,0
TXN00018,U00018,35.0,Female,10.52,5.83,3.71,5.17,5.25,144.0,138,11.55,Medium,Yes,,1
TXN00019,U00019,18.0,Female,11.87,1.96,3.14,3.0,6.4,207.0,157,14.02,Medium,Yes,Moderate,1
TXN00020,U00020,24.0,Other,11.72,3.69,2.17,4.61,4.76,169.0,137,13.48,High,Yes,Moderate,1
TXN00021,U00021,20.0,Female,10.66,0.88,0.27,5.24,6.32,247.0,160,11.78,High,Yes,Moderate,1
TXN00022,U00022,34.0,Female,5.85,1.93,2.68,2.23,5.7,53.0,180,7.1,Medium,Yes,,0
TXN00023,U00023,21.0,Other,3.66,1.67,1.06,5.63,8.46,245.0,77,5.08,Low,No,Mild,0
TXN00024,U00024,34.0,Female,3.07,4.99,1.2,4.15,8.73,54.0,82,3.86,Low,Yes,Severe,1
TXN00025,U00025,24.0,Male,9.46,1.62,2.54,1.95,6.7,236.0,28,10.19,Medium,No,Moderate,1
TXN00026,U00026,28.0,Female,9.94,4.0,1.05,4.58,6.98,129.0,158,10.46,Low,Yes,Moderate,1
TXN00027,U00027,35.0,Female,4.33,1.2,1.23,5.44,,240.0,25,7.08,Low,Yes,,0
TXN00028,U00028,35.0,Male,10.96,2.74,2.48,1.35,8.68,241.0,56,13.9,Low,No,Moderate,1
TXN00029,U00029,28.0,Male,10.04,2.76,2.68,4.54,5.62,60.0,42,11.5,Low,No,Moderate,1
TXN00030,U00030,32.0,Other,6.15,5.01,3.49,1.73,7.47,122.0,99,7.35,Low,No,Severe,1
TXN00031,U00031,34.0,Other,6.6,5.9,2.14,5.67,5.02,86.0,60,8.55,Medium,Yes,Moderate,1
TXN00032,U00032,31.0,Other,6.11,4.83,1.75,5.91,5.02,250.0,162,7.09,high,No,Moderate,1
TXN00033,U00033,35.0,Other,9.18,5.67,2.95,1.58,6.44,190.0,99,11.24,High,Yes,Severe,1
TXN00034,U00034,27.0,Other,9.0,2.29,2.79,3.55,5.36,190.0,112,11.19,Low,No,Severe,1
TXN00035,U00035,18.0,,5.73,1.66,3.14,3.84,5.95,133.0,128,7.92,High,No,,0
TXN00036,U00036,20.0,Male,5.55,4.15,2.48,1.01,8.78,80.0,94,6.61,Low,Yes,Moderate,1
TXN00037,U00037,25.0,Male,11.86,3.86,3.07,3.0,8.49,167.0,64,14.16,Medium,No,Severe,1
TXN00038,U00038,,Other,8.9,0.53,3.0,4.74,4.98,128.0,71,9.84,High,No,,1
TXN00039,U00039,25.0,Male,11.26,1.17,0.53,3.06,6.89,163.0,167,12.55,Medium,No,Severe,1
TXN00040,U00040,33.0,Male,7.05,4.63,3.36,2.03,8.0,144.0,175,8.15,Medium,Yes,Severe,1
TXN00041,U00041,26.0,Female,6.02,5.41,0.32,1.33,6.22,59.0,69,6.68,Medium,No,Severe,1
TXN00042,U00042,19.0,Female,4.86,2.81,3.62,3.71,7.63,239.0,162,6.31,Low,No,Mild,0
TXN00043,U00043,31.0,Other,7.84,4.54,3.2,5.44,,89.0,126,9.55,Medium,No,,1
TXN00044,U00044,23.0,Female,10.56,5.56,3.92,3.44,8.58,171.0,159,12.72,Low,No,Moderate,1
TXN00045,U00045,23.0,Female,3.45,2.59,0.85,2.3,7.93,117.0,86,5.83,Medium,No,,0
TXN00046,U00046,18.0,Other,9.74,0.79,3.81,1.73,4.81,186.0,25,12.13,Low,Yes,Moderate,1
TXN00047,U00047,22.0,Female,5.15,3.1,0.46,5.71,6.59,85.0,109,6.07,High,Yes,,0
TXN00048,U00048,21.0,Other,8.21,5.61,2.3,5.49,6.19,203.0,65,8.9,High,Yes,Moderate,1
TXN00049,U00049,27.0,Male,10.65,3.8,0.48,5.91,8.02,108.0,151,12.22,Medium,Yes,Severe,1
